Service,Region,Namespace,Window Start,Window End,Cpu Cost,Gpu Cost,Ram Cost,PV Cost,Network Cost,LoadBalancer Cost,Shared Cost,Total Cost,Cpu Efficiency,Ram Efficiency,Total Efficiency
"""kubecost-prometheus-server""",ap-south-1,kubecost,2024-07-23T13:00:00Z,2024-07-24T13:00:00Z,0.000740,0.000000,0.002580,0.000000,0.000000,0.000000,0.000000,0.003330,100.000000,100.000000,100.000000
"""go-route1-service""",ap-south-1,route1,2024-07-23T13:00:00Z,2024-07-24T13:00:00Z,0.000000,0.000000,0.000320,0.000000,0.000000,0.000000,0.000000,0.000320,100.000000,100.000000,100.000000
"""kube-dns""",ap-south-1,kube-system,2024-07-23T13:00:00Z,2024-07-24T13:00:00Z,0.043440,0.000000,0.003980,0.000000,0.000000,0.000000,0.000000,0.047410,1.200000,24.731000,3.175000
"""kubecost-aggregator""",ap-south-1,kubecost,2024-07-23T13:00:00Z,2024-07-24T13:00:00Z,0.021920,0.000000,0.008920,0.000000,0.000000,0.270830,0.000000,0.301670,6.489000,596.869000,177.269000
"""kubecost-cost-analyzer""",ap-south-1,kubecost,2024-07-23T13:00:00Z,2024-07-24T13:00:00Z,0.014980,0.000000,0.006080,0.000000,0.000000,0.185420,0.000000,0.206470,6.166000,598.202000,177.008000
"""kubecost-forecasting""",ap-south-1,kubecost,2024-07-23T13:00:00Z,2024-07-24T13:00:00Z,0.043440,0.000000,0.008530,0.000000,0.000000,0.000000,0.000000,0.051960,0.268000,47.624000,8.039000
"""go-route2-service""",ap-south-1,route2,2024-07-23T13:00:00Z,2024-07-24T13:00:00Z,0.000000,0.000000,0.000210,0.000000,0.000000,0.000000,0.000000,0.000210,100.000000,100.000000,100.000000
"""kubecost-cloud-cost""",ap-south-1,kubecost,2024-07-23T13:00:00Z,2024-07-24T13:00:00Z,0.010940,0.000000,0.004400,0.000000,0.000000,0.135420,0.000000,0.150760,6.097000,580.234000,170.937000
"""kubecost-grafana""",ap-south-1,kubecost,2024-07-23T13:00:00Z,2024-07-24T13:00:00Z,0.000670,0.000000,0.003890,0.000000,0.000000,0.000000,0.000000,0.004560,100.000000,100.000000,100.000000
__idle__,,kubecost,2024-07-23T13:00:00Z,2024-07-24T13:00:00Z,0.628340,0.000000,0.046170,0.000000,0.000000,0.000000,0.000000,0.674510,0.000000,0.000000,0.000000
__unallocated__,ap-south-1,kube-system,2024-07-23T13:00:00Z,2024-07-24T13:00:00Z,0.104240,0.000000,0.024310,0.000000,0.000000,0.000000,0.000000,0.128550,3.005000,53.735000,12.598000
